"","X.1","X","manufacturer","trans","drv","cty","hwy"
"165",165,165,"subaru","auto","4",18,23
"166",166,166,"subaru","auto","4",21,26
"167",167,167,"subaru","manual","4",19,26
"168",168,168,"subaru","manual","4",19,26
"169",169,169,"subaru","auto","4",19,26
"170",170,170,"subaru","auto","4",20,25
"171",171,171,"subaru","auto","4",20,27
"172",172,172,"subaru","manual","4",19,25
"173",173,173,"subaru","manual","4",20,27
"174",174,174,"toyota","manual","4",15,20
"175",175,175,"toyota","auto","4",16,20
"176",176,176,"toyota","auto","4",15,19
"177",177,177,"toyota","manual","4",15,17
"178",178,178,"toyota","auto","4",16,20
"179",179,179,"toyota","auto","4",14,17
"180",180,180,"toyota","manual","f",21,29
"181",181,181,"toyota","auto","f",21,27
"182",182,182,"toyota","manual","f",21,31
"183",183,183,"toyota","auto","f",21,31
"184",184,184,"toyota","auto","f",18,26
"185",185,185,"toyota","manual","f",18,26
"186",186,186,"toyota","auto","f",19,28
"187",187,187,"toyota","auto","f",21,27
"188",188,188,"toyota","manual","f",21,29
"189",189,189,"toyota","manual","f",21,31
"190",190,190,"toyota","auto","f",22,31
"191",191,191,"toyota","auto","f",18,26
"192",192,192,"toyota","manual","f",18,26
"193",193,193,"toyota","auto","f",18,27
"194",194,194,"toyota","auto","f",24,30
"195",195,195,"toyota","auto","f",24,33
"196",196,196,"toyota","manual","f",26,35
"197",197,197,"toyota","manual","f",28,37
"198",198,198,"toyota","auto","f",26,35
"199",199,199,"toyota","auto","4",11,15
"200",200,200,"toyota","auto","4",13,18
"201",201,201,"toyota","manual","4",15,20
"202",202,202,"toyota","auto","4",16,20
"203",203,203,"toyota","manual","4",17,22
"204",204,204,"toyota","manual","4",15,17
"205",205,205,"toyota","auto","4",15,19
"206",206,206,"toyota","manual","4",15,18
"207",207,207,"toyota","auto","4",16,20
"208",208,208,"volkswagen","manual","f",21,29
"209",209,209,"volkswagen","auto","f",19,26
"210",210,210,"volkswagen","manual","f",21,29
"211",211,211,"volkswagen","auto","f",22,29
"212",212,212,"volkswagen","manual","f",17,24
"213",213,213,"volkswagen","manual","f",33,44
"214",214,214,"volkswagen","manual","f",21,29
"215",215,215,"volkswagen","auto","f",19,26
"216",216,216,"volkswagen","auto","f",22,29
"217",217,217,"volkswagen","manual","f",21,29
"218",218,218,"volkswagen","auto","f",21,29
"219",219,219,"volkswagen","manual","f",21,29
"220",220,220,"volkswagen","auto","f",16,23
"221",221,221,"volkswagen","manual","f",17,24
"222",222,222,"volkswagen","manual","f",35,44
"223",223,223,"volkswagen","auto","f",29,41
"224",224,224,"volkswagen","manual","f",21,29
"225",225,225,"volkswagen","auto","f",19,26
"226",226,226,"volkswagen","manual","f",20,28
"227",227,227,"volkswagen","auto","f",20,29
"228",228,228,"volkswagen","manual","f",21,29
"229",229,229,"volkswagen","auto","f",18,29
"230",230,230,"volkswagen","auto","f",19,28
"231",231,231,"volkswagen","manual","f",21,29
"232",232,232,"volkswagen","auto","f",16,26
"233",233,233,"volkswagen","manual","f",18,26
"234",234,234,"volkswagen","auto","f",17,26
